apk;num_con_frid;num_con_traf;disparidad
com.zong.customercare;517;274;47.0
com.samsung.emojikeyboard.themes;233;5;97.85
com.millecrepestudios.couplelife;194;0;100.0
com.bearhugmedia.android;174;0;100.0
com.apalon.myclockfree;169;75;55.62
com.tlive.madcat;133;38;71.43
com.apalon.flight.tracker;115;13;88.7
beautyrooom.filtersforselfie.sweet.face.camera.selfies;103;8;92.23
com.tencent.wesing;83;213;61.03
com.weather.weatherforcast.aleart.widget;82;73;10.98
com.wemagineai.voila;80;91;12.09
emmo.diary.app;78;14;82.05
com.tiktokvideodownloader.savetiktokvideo212;76;0;100.0
neon.horns.devil;75;16;78.67
com.lazada.android;72;175;58.86
phonecooler.cpucooler.coolermaster.batterycooler;66;89;25.84
bolo.codeplay.com.bolo;63;4;93.65
free.videodownloader.downloadvideos.hd;63;108;41.67
ultra.wallpaper.themes.pro;62;74;16.22
com.givvyresty;60;0;100.0
com.bet365Wrapper.Bet365;59;0;100.0
com.ioskeyboard.softedge;56;118;52.54
com.four4glte.only.networkmode;55;0;100.0
cc.forestapp;50;20;60.0
com.zaku.live.chat;49;44;10.2
com.mwm.guitartuner;48;0;100.0
com.vyroai.photoenhancer;48;118;59.32
com.mo2o.navieraarmas;48;1;97.92
com.graphite.graphitecomics;47;1;97.87
com.tlnove.tureli;46;0;100.0
com.mistplay.mistplay;46;57;19.3
com.miniclip.plagueinc;45;49;8.16
com.edjing.edjingdjturntable;44;104;57.69
com.kraftwerk9.remotie;44;91;51.65
tatoo.tattoo.design;44;0;100.0
com.makervideoimage.fortiktok;44;144;69.44
com.meet.uspro;43;0;100.0
com.global.foodpanda.android;42;45;6.67
br.com.rodrigokolb.classicdrum;42;79;46.84
com.prinext.image.blur;42;27;35.71
fr.profilweb.gifi.es;41;14;65.85
com.changdu.spainreader;41;17;58.54
com.iphonedroid.expansion;41;98;58.16
com.kivi.live;40;18;55.0
br.com.rodrigokolb.realdrum;39;0;100.0
fill.up.the.frigde.organization.games;39;50;22.0
com.luzapplications.alessio.topwallpapers;38;115;66.96
com.dressup.avatar.yoyo.doll;38;33;13.16
mymusic.offlinemusicplayer.mp3player.playmusic;36;42;14.29
com.july.euro;36;45;20.0
com.plantiary;35;48;27.08
crypto.free.bitcoin.cloud.mining.cryptocurrency;35;0;100.0
com.twocatsapp.ombroamigo;34;78;56.41
coches.net;34;0;100.0
com.name.photo.birthday.cake.quotes.frame.editor;34;4;88.24
com.quvideo.xiaoying;33;31;6.06
com.prisaradio.replicapp.cadenaser;32;31;3.12
br.com.escolhatecnologia.vozdonarrador;31;77;59.74
it.ideasolutions.amerigo;31;116;73.28
com.app;31;0;100.0
com.facechangervideo;31;85;63.53
com.lovefeed.dating;31;43;27.91
com.wwwave.mangapon;30;82;63.41
com.launcher.launcher2022;30;45;33.33
app.peliculas.gratis;30;0;100.0
com.e.juantraductoro;30;28;6.67
com.cartoonphotomaker.cartoonphotoeditor;30;59;49.15
com.tuneme.tuneme;29;8;72.41
com.channel.weather.forecast.live.radar;29;54;46.3
com.rcplatform.livechat;29;27;6.9
com.accurate.channel.forecast.live.weather;28;14;50.0
com.stepbet.app;28;36;22.22
com.logan19gp.lottogen;28;87;67.82
com.yokee.piano.keyboard;28;3;89.29
com.chapter3.fbr.battleroyale;27;54;50.0
com.binarygraft.pokewalk;27;53;49.06
io.hexman.xiconchanger;26;124;79.03
br.com.escolhatecnologia.voztradutor;26;178;85.39
com.invitation.maker.birthday.card;26;0;100.0
com.opodo.reisen;26;1;96.15
com.techpro.cutringtone;26;40;35.0
downloader.video.download.free;26;63;58.73
com.bas.hit.volm.dy;25;44;43.18
com.fiverr.fiverr;25;17;32.0
emoji.keyboard.fonts.stickers.gif.keyboard.moji;25;31;19.35
com.aircanada;25;0;100.0
com.cute.wallpapers;24;0;100.0
com.call.flash.theme.emoji.wallpaper.lock.screen.security.smooth.efficiency.color.phone.launcher;24;48;50.0
com.buzzarab.buzzarab;24;33;27.27
com.broken;24;0;100.0
com.idamob.tinkoff.android;24;34;29.41
com.dafoudil.collectionBAKIHANMAwallpaper;24;46;47.83
zepeto.walkthrough.zepetotricks;24;0;100.0
com.mediapro.entertainment.freeringtone;24;62;61.29
com.wildec.meet24;24;36;33.33
com.runtastic.android.results.lite;24;1;95.83
com.uala.appandroid;24;12;50.0
com.zinio.mobile.android.reader;24;8;66.67
kr.jungrammer.anonymous;24;19;20.83
app.bhupesh.armorking.tanglefree;24;1;95.83
com.pakistani.girlslivechat;23;14;39.13
com.grability.rappi;23;39;41.03
