APK;matches_list;total
com.apalon.flight.tracker;['com.applovin', 'com.google.firebase', 'com.adjust.sdk', 'com.fyber', 'com.ironsource', 'com.ironsource.sdk', 'com.amplitude', 'com.google.android.gms'];8
com.givvyresty;['com.google.firebase', 'com.tapjoy', 'com.applovin', 'com.adcolony', 'com.fyber', 'com.vungle', 'com.ironsource', 'com.ironsource.sdk'];8
com.apalon.myclockfree;['com.adjust.sdk', 'com.applovin', 'com.fyber', 'com.ironsource', 'net.pubnative', 'com.vungle', 'com.ironsource.sdk'];7
com.millecrepestudios.couplelife;['com.singular.sdk', 'com.applovin', 'com.fyber', 'com.adcolony', 'com.ironsource', 'com.vungle', 'com.ironsource.sdk'];7
com.bearhugmedia.android;['com.google.android.gms', 'com.google.firebase', 'com.applovin', 'com.adcolony', 'com.ironsource', 'com.ironsource.sdk'];6
io.hexman.xiconchanger;['com.applovin', 'com.adcolony', 'com.fyber', 'com.vungle', 'com.appsflyer', 'com.google.android.gms'];6
bolo.codeplay.com.bolo;['com.google.android.gms', 'com.google.firebase', 'com.ironsource', 'com.appsflyer', 'com.ironsource.sdk'];5
cc.forestapp;['com.google.firebase', 'com.vungle', 'com.adcolony', 'com.applovin', 'com.mopub'];5
com.edjing.edjingdjturntable;['com.appsflyer', 'com.applovin', 'com.vungle', 'com.ironsource', 'com.ironsource.sdk'];5
com.makervideoimage.fortiktok;['com.startapp', 'com.appodeal.ads', 'io.bidmachine', 'com.applovin', 'com.criteo.publisher'];5
com.mistplay.mistplay;['com.google.firebase', 'com.mixpanel.android', 'com.leanplum', 'com.google.android.gms', 'com.appsflyer'];5
com.mwm.guitartuner;['com.appsflyer', 'com.applovin', 'com.vungle', 'com.ironsource', 'com.ironsource.sdk'];5
com.wwwave.mangapon;['com.google.android.gms', 'com.google.firebase', 'com.ironsource', 'com.ironsource.sdk', 'com.tapjoy'];5
downloader.video.download.free;['com.google.android.gms', 'com.fyber', 'com.ironsource', 'com.applovin', 'com.ironsource.sdk'];5
io.funswitch.blocker;['com.revenuecat.purchases', 'com.google.android.gms', 'com.google.firebase', 'com.appsflyer', 'com.onesignal'];5
app.peliculas.gratis;['com.ironsource', 'com.onesignal', 'com.ironsource.sdk', 'com.adcolony'];4
br.com.rodrigokolb.classicdrum;['com.google.android.gms', 'com.google.firebase', 'com.vungle', 'com.applovin'];4
br.com.rodrigokolb.realdrum;['com.vungle', 'com.google.android.gms', 'com.google.firebase', 'com.applovin'];4
co.dilmil.android;['com.google.firebase', 'com.leanplum', 'com.adjust.sdk', 'com.google.android.gms'];4
com.appkarma.app;['com.google.firebase', 'com.mixpanel.android', 'com.onesignal', 'com.google.android.gms'];4
com.delaware.empark;['io.sentry', 'com.google.android.gms', 'com.google.firebase', 'com.salesforce.marketingcloud'];4
com.eddress.getgoodys;['com.appboy', 'com.optimizely.ab', 'com.google.android.gms', 'com.google.firebase'];4
com.empat.wory;['com.adjust.sdk', 'com.google.android.gms', 'com.google.firebase', 'com.appsflyer'];4
com.jeremysteckling.facerrel;['com.google.firebase', 'com.adcolony', 'com.appsflyer', 'com.onesignal'];4
com.july.euro;['com.google.firebase', 'com.mparticle', 'com.snowplowanalytics', 'com.onesignal'];4
com.kivi.live;['com.applovin', 'com.google.android.gms', 'com.google.firebase', 'com.appsflyer'];4
com.kraftwerk9.remotie;['com.appodeal.ads', 'io.bidmachine', 'com.criteo.publisher', 'com.applovin'];4
com.mason.wooplus;['com.google.android.gms', 'com.google.firebase', 'com.tencent.bugly', 'com.appsflyer'];4
com.miniclip.plagueinc;['com.applovin', 'com.fyber', 'com.ironsource', 'com.ironsource.sdk'];4
com.modanisa;['com.newrelic.agent.android', 'com.useinsider', 'com.google.android.gms', 'com.google.firebase'];4
com.poppycoloringpages.coloringplaytimechapter2game;['com.ironsource', 'com.ironsource.sdk', 'com.onesignal', 'com.google.android.gms'];4
com.project.vivareal;['com.google.firebase', 'com.salesforce.marketingcloud', 'com.comscore', 'com.apptimize'];4
com.rarewire.forever21;['com.google.firebase', 'com.newrelic.agent.android', 'com.salesforce.marketingcloud', 'com.google.android.gms'];4
com.runtastic.android.results.lite;['com.newrelic.agent.android', 'com.adjust.sdk', 'com.google.android.gms', 'com.google.firebase'];4
com.twocatsapp.ombroamigo;['com.ironsource', 'com.ironsource.sdk', 'com.applovin', 'com.onesignal'];4
com.weather.weatherforcast.aleart.widget;['com.applovin', 'com.vungle', 'com.ironsource', 'com.ironsource.sdk'];4
com.zaza.beatbox;['com.google.firebase', 'com.applovin', 'com.adcolony', 'com.google.android.gms'];4
de.quandoo.android.consumerapp;['com.google.firebase', 'com.leanplum', 'com.google.android.gms', 'com.adjust.sdk'];4
emoji.keyboard.fonts.stickers.gif.keyboard.moji;['com.adcolony', 'com.google.firebase', 'com.google.android.gms', 'com.applovin'];4
gallery.photomanager.picturegalleryapp.imagegallery;['com.applovin', 'com.vungle', 'com.ironsource', 'com.ironsource.sdk'];4
homemakes.how;['com.appodeal.ads', 'io.bidmachine', 'com.criteo.publisher', 'com.applovin'];4
io.walkietalkie;['com.batch.android', 'com.adcolony', 'com.appsflyer', 'com.applovin'];4
it.ideasolutions.amerigo;['com.applovin', 'com.fyber', 'com.criteo.publisher', 'com.adcolony'];4
ru.mybook;['com.google.firebase', 'com.amplitude', 'com.appsflyer', 'com.google.android.gms'];4
video.reface.app;['com.google.firebase', 'com.google.android.gms', 'com.appsflyer', 'com.amplitude'];4
at.paysafecard.android;['com.bugsnag', 'com.adjust.sdk', 'com.salesforce.marketingcloud'];3
beautyrooom.filtersforselfie.sweet.face.camera.selfies;['com.ironsource', 'com.ironsource.sdk', 'com.applovin'];3
br.com.escolhatecnologia.voztradutor;['com.startapp', 'com.onesignal', 'com.google.android.gms'];3
com.aplazame;['com.google.firebase', 'com.amplitude', 'com.onesignal'];3
com.BorderLight.LED.Color.Live.Wallpaper;['com.onesignal', 'com.applovin', 'com.google.android.gms'];3
com.chapter3.fbr.battleroyale;['com.applovin', 'com.ironsource', 'com.google.android.gms'];3
com.ehf.app.android;['com.google.android.gms', 'com.google.firebase', 'com.onesignal'];3
com.fiatc;['com.salesforce.marketingcloud', 'com.google.android.gms', 'com.google.firebase'];3
com.four4glte.only.networkmode;['com.google.android.gms', 'com.google.firebase', 'com.applovin'];3
com.gonatuparaapp.livenetsports;['com.google.firebase', 'com.onesignal', 'com.google.android.gms'];3
com.grability.rappi;['com.google.firebase', 'com.amplitude', 'com.appsflyer'];3
com.hitrolab.audioeditor;['com.applovin', 'com.ironsource', 'com.ironsource.sdk'];3
com.iyia.repost;['com.microsoft.appcenter', 'com.google.android.gms', 'com.google.firebase'];3
com.jee.calc;['com.applovin', 'com.google.android.gms', 'com.google.firebase'];3
com.juduku.juduku;['com.revenuecat.purchases', 'com.onesignal', 'com.appsflyer'];3
com.karmamobile;['com.salesforce.marketingcloud', 'com.stripe', 'com.adjust.sdk'];3
com.lomotif.android;['com.google.firebase', 'com.moengage', 'com.amplitude'];3
com.macsoftex.portrait;['com.onesignal', 'com.google.android.gms', 'com.google.firebase'];3
com.mangamo.app;['com.appsflyer', 'com.google.firebase', 'com.google.android.gms'];3
com.mexic.memes.stickers;['com.applovin', 'com.onesignal', 'com.google.firebase'];3
com.mirror.news;['com.google.android.gms', 'com.google.firebase', 'com.comscore'];3
com.mktech.videoder;['com.onesignal', 'com.applovin', 'com.google.firebase'];3
com.monday.monday;['com.appsflyer', 'com.google.android.gms', 'com.google.firebase'];3
com.nordicwise.translator;['com.onesignal', 'com.amplitude', 'com.appsflyer'];3
com.noxgroup.app.cleaner;['com.adjust.sdk', 'com.google.android.gms', 'com.google.firebase'];3
com.opodo.reisen;['com.google.firebase', 'com.google.android.gms', 'com.appsflyer'];3
com.paperlit.android.repubblica;['com.google.firebase', 'com.salesforce.marketingcloud', 'com.google.android.gms'];3
com.piccollage.freecollagemaker.photocollage;['com.applovin', 'com.google.android.gms', 'com.onesignal'];3
com.quanticapps.remotetvs;['com.batch.android', 'com.revenuecat.purchases', 'com.applovin'];3
com.speakandtranslate.voicetranslator.alllanguages;['com.google.android.gms', 'com.google.firebase', 'com.onesignal'];3
com.technogym.mywellness.metropolitanwellness;['com.google.firebase', 'com.onesignal', 'com.google.android.gms'];3
com.text.translate.all.language.translator.voicetraductor.phototranslator;['com.google.android.gms', 'com.google.firebase', 'com.applovin'];3
com.thisclicks.wiw;['com.adjust.sdk', 'com.google.android.gms', 'com.google.firebase'];3
com.titaniumapp.gggameturbo;['com.applovin', 'com.google.android.gms', 'com.google.firebase'];3
com.tonicapp;['com.google.firebase', 'com.newrelic.agent.android', 'com.google.android.gms'];3
com.trace.main;['com.ironsource.sdk', 'com.ironsource', 'com.google.android.gms'];3
com.ttech.android.onlineislem;['com.google.firebase', 'com.useinsider', 'com.google.android.gms'];3
com.wemagineai.voila;['com.appsflyer', 'com.applovin', 'com.onesignal'];3
com.woomfertility.woomapp;['com.google.android.gms', 'com.google.firebase', 'com.clevertap.android'];3
fill.up.the.frigde.organization.games;['com.tencent.bugly', 'com.startapp', 'com.appsflyer'];3
fm.castbox.audiobook.radio.podcast;['com.google.android.gms', 'com.google.firebase', 'com.adjust.sdk'];3
free.videodownloader.downloadvideos.hd;['com.vungle', 'com.applovin', 'com.google.android.gms'];3
gr.pixelab.sketch;['com.appodeal.ads', 'io.bidmachine', 'com.criteo.publisher'];3
group.flowbird.mpp;['com.google.firebase', 'com.google.android.gms', 'com.batch.android'];3
losefat.forwomen.homeworkouts;['com.google.android.gms', 'com.google.firebase', 'com.applovin'];3
mymusic.offlinemusicplayer.mp3player.playmusic;['com.google.firebase', 'com.applovin', 'com.google.android.gms'];3
neon.horns.devil;['com.ironsource', 'com.ironsource.sdk', 'com.applovin'];3
net.bitburst.pollpay;['com.mparticle', 'com.clevertap.android', 'io.sentry'];3
photoeditor.oldfilter.retroeffect.vintagecamera;['com.google.android.gms', 'com.google.firebase', 'com.microsoft.appcenter'];3
pilatesworkouts.loseweight.dailyyoga;['com.applovin', 'com.google.android.gms', 'com.google.firebase'];3
radio.online.romania;['com.criteo.publisher', 'com.google.firebase', 'net.pubnative'];3
tatoo.tattoo.design;['com.adcolony', 'com.applovin', 'com.google.android.gms'];3
voiceapp.AlexaCommands;['com.my.target', 'com.google.android.gms', 'com.google.firebase'];3
yogaworkouts.dailyyoga.yogafitness;['com.applovin', 'com.google.firebase', 'com.google.android.gms'];3
app.bhupesh.armorking.tanglefree;['com.ironsource', 'com.ironsource.sdk'];2
app.master.girl.skins;['com.applovin', 'com.google.android.gms'];2
app.perfectposture;['com.applovin', 'com.google.firebase'];2
app.sarhne.com;['com.google.android.gms', 'com.onesignal'];2
br.com.escolhatecnologia.vozdonarrador;['com.applovin', 'com.onesignal'];2
br.com.vw.connected.car.argentina;['com.google.firebase', 'com.salesforce.marketingcloud'];2
com.ab.drinkwaterapp;['com.appsflyer', 'com.google.android.gms'];2
com.aircanada;['com.mparticle', 'com.google.firebase'];2
com.airthings.airthings;['com.google.android.gms', 'com.google.firebase'];2
com.allinonesocialmedia.allinonesocialnetwork;['com.ironsource', 'com.ironsource.sdk'];2
com.anime;['com.startapp', 'com.onesignal'];2
com.appmystique.businesscardmaker;['com.google.android.gms', 'com.google.firebase'];2
com.appsdrg.comidarapidafacil;['com.google.firebase', 'com.google.android.gms'];2
com.appsfornexus.dailysciencenews;['com.google.firebase', 'com.google.android.gms'];2
com.asiainno.uplive.aiglamour;['com.google.firebase', 'com.adjust.sdk'];2
com.autotuneyourvoice.withmusic.auto.tune;['com.ironsource', 'com.ironsource.sdk'];2
