elemento;frecuencia
com.applovin;1337
com.google.firebase;1282
com.google.android.gms;821
com.ironsource;417
com.startapp;261
com.appsflyer;249
com.adcolony;181
com.onesignal;173
com.ironsource.sdk;167
com.fyber;110
com.newrelic.agent.android;101
io.sentry;97
com.adjust.sdk;85
com.microsoft.appcenter;77
com.revenuecat.purchases;70
com.vungle;55
com.tapjoy;46
com.batch.android;43
io.bidmachine;28
com.amplitude;27
com.mixpanel.android;24
com.mopub;24
com.salesforce.marketingcloud;23
com.criteo.publisher;22
com.appodeal.ads;21
com.mparticle;20
com.bugsnag;14
com.leanplum;12
com.comscore;11
com.adobe.marketing.mobile;9
com.chartboost;8
com.moengage;8
com.kochava.base;8
com.tealium;7
com.snowplowanalytics;6
com.my.tracker;6
com.clevertap.android;6
com.tencent.bugly;4
net.pubnative;4
com.apptentive;4
com.useinsider;3
com.qualtrics;2
com.appboy;2
com.my.target;2
com.singular.sdk;2
com.stripe;2
com.kochava.tracker;2
com.optimizely.ab;2
com.apptimize;1
