
N/A;192.168.0.112:42686;172.64.206.14:443;Proxy-Request;https://api-eu.bidmachine.io/a...;-
N/A;192.168.0.112:42682;18.154.54.32:443;Proxy-Request;https://aax.amazon-adsystem.co...;-
N/A;192.168.0.112:42682;18.154.54.32:443;Proxy-Response;-;-
N/A;192.168.0.112:42676;18.235.222.201:443;Proxy-Request;https://api.apptentive.com/con...;-
N/A;192.168.0.112:42686;172.64.206.14:443;Proxy-Response;-;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;192.168.0.112:42678;3.208.78.37:443;Proxy-Request;https://and-obs.pulse.weatherb...;-
N/A;192.168.0.112:42676;18.235.222.201:443;Proxy-Response;-;-
N/A;192.168.0.112:42678;3.208.78.37:443;Proxy-Response;-;-
N/A;192.168.0.112:42686;172.64.206.14:443;Proxy-Request;https://api-eu.bidmachine.io/t...;-
com.aws.android;192.168.0.112:42684;185.106.33.48:443;Proxy-Request;https://il-trc-events.taboola....;-
N/A;192.168.0.112:42676;18.235.222.201:443;Proxy-Request;https://api.apptentive.com/con...;-
N/A;192.168.0.112:42686;172.64.206.14:443;Proxy-Response;-;-
N/A;192.168.0.112:42684;185.106.33.48:443;Proxy-Response;-;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;192.168.0.112:42690;185.89.210.59:443;Proxy-Request;https://mediation.adnxs.com/ut...;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;192.168.0.112:42680;52.22.98.76:443;Proxy-Request;https://and-for.pulse.weatherb...;-
N/A;192.168.0.112:42690;185.89.210.59:443;Proxy-Response;-;-
N/A;192.168.0.112:42680;52.22.98.76:443;Proxy-Response;-;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;192.168.0.112:42688;50.17.210.102:443;Proxy-Request;https://weatherbug.adsbynimbus...;-
N/A;192.168.0.112:42688;50.17.210.102:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42696;151.101.65.44:443;Proxy-Request;https://cdn.taboola.com/shared...;-
N/A;192.168.0.112:42696;151.101.65.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42698;142.250.184.174:443;Proxy-Request;https://clients4.google.com/gl...;-
com.aws.android;192.168.0.112:42696;151.101.65.44:443;Proxy-Request;https://cdn.taboola.com/shared...;-
N/A;192.168.0.112:42696;151.101.65.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42698;142.250.184.174:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42704;108.157.98.112:443;Proxy-Request;https://sb.scorecardresearch.c...;-
N/A;192.168.0.112:42704;108.157.98.112:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42706;151.101.129.44:443;Proxy-Request;https://trc.taboola.com/weathe...;-
com.aws.android;192.168.0.112:42704;108.157.98.112:443;Proxy-Request;https://sb.scorecardresearch.c...;-
N/A;192.168.0.112:42704;108.157.98.112:443;Proxy-Response;-;-
N/A;192.168.0.112:42706;151.101.129.44:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42684;185.106.33.48:443;Proxy-Request;https://il-trc-events.taboola....;-
com.aws.android;192.168.0.112:42706;151.101.129.44:443;Proxy-Request;https://trc.taboola.com/weathe...;-
N/A;192.168.0.112:42708;216.239.32.3:443;Proxy-Request;https://csi.gstatic.com/csi?s=...;-
N/A;192.168.0.112:42708;216.239.32.3:443;Proxy-Response;-;-
N/A;192.168.0.112:42684;185.106.33.48:443;Proxy-Response;-;-
N/A;192.168.0.112:42698;142.250.184.174:443;Proxy-Request;https://clients4.google.com/gl...;-
com.aws.android;192.168.0.112:42592;141.226.228.48:443;Proxy-Request;https://am-vid-events.taboola....;-
N/A;192.168.0.112:42698;142.250.184.174:443;Proxy-Response;-;-
N/A;192.168.0.112:42592;141.226.228.48:443;Proxy-Response;-;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;192.168.0.112:42710;34.199.216.63:443;Proxy-Request;https://and-maps.pulse.weather...;-
com.aws.android;192.168.0.112:42712;151.101.1.44:443;Proxy-Request;https://imprammp.taboola.com/s...;-
N/A;192.168.0.112:42712;151.101.1.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42710;34.199.216.63:443;Proxy-Response;-;-
N/A;192.168.0.112:42698;142.250.184.174:443;Proxy-Request;https://clients4.google.com/gl...;-
N/A;192.168.0.112:42698;142.250.184.174:443;Proxy-Response;-;-
N/A;192.168.0.112:42706;151.101.129.44:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42706;151.101.129.44:443;Proxy-Request;https://trc.taboola.com/weathe...;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;192.168.0.112:42710;34.199.216.63:443;Proxy-Request;https://and-maps.pulse.weather...;-
N/A;192.168.0.112:42706;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42718;142.250.184.174:443;Proxy-Request;https://clients4.google.com/gl...;-
com.aws.android;192.168.0.112:42720;146.112.61.110:443;Proxy-Request;https://match.adsrvr.org/track...;-
com.aws.android;192.168.0.112:42726;216.58.215.166:443;Proxy-Request;https://ad.doubleclick.net/ddm...;-
N/A;192.168.0.112:42720;;Proxy-Error;;Certificate verify failed: unable to get local issuer certificate
