APP;CLIENT;SERVER;METHOD;URL;TRACE;ERROR_MESSAGE;COUNT
bp.free.puzzle.game.mahjong.onet;No local IP;-;Frida - socketChannel.open;-;No trace;-;5
bp.free.puzzle.game.mahjong.onet;No local IP;-;Frida - socket.connect;-;No trace;-;222
bp.free.puzzle.game.mahjong.onet;No local IP;-;No method;-;No trace;-;10
bp.free.puzzle.game.mahjong.onet;No local IP;-;No method;-;No trace;-;10
bp.free.puzzle.game.mahjong.onet;:::::-1;-;Frida - socket.connect;-;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.internal.Platform,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.safedk.android.internal.partials.FirebasePerformanceMonitoringNetworkBridge,com.google.firebase.perf.network.e,com.google.firebase.perf.network.d,com.safedk.android.internal.partials.FacebookNetworkBridge,com.facebook.j$a,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest,com.facebook.internal.FetchedAppSettingsManager,com.facebook.internal.FetchedAppSettingsManager,com.facebook.internal.FetchedAppSettingsManager$b,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;-;222
bp.free.puzzle.game.mahjong.onet;192.168.0.20:46186;-;Frida - socket.getOutputStream;-;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.okio.Okio,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.safedk.android.internal.partials.FirebasePerformanceMonitoringNetworkBridge,com.google.firebase.perf.network.e,com.google.firebase.perf.network.d,com.safedk.android.internal.partials.FacebookNetworkBridge,com.facebook.j$a,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest,com.facebook.internal.FetchedAppSettingsManager,com.facebook.internal.FetchedAppSettingsManager,com.facebook.internal.FetchedAppSettingsManager$b,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;-;215
bp.free.puzzle.game.mahjong.onet;:::::-1;-;Frida - socket.connect;-;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.internal.Platform,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.safedk.android.internal.partials.FirebasePerformanceMonitoringNetworkBridge,com.google.firebase.perf.network.e,com.google.firebase.perf.network.d,com.safedk.android.internal.partials.FacebookNetworkBridge,com.facebook.j$a,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest,com.facebook.internal.FetchedAppSettingsManager,com.facebook.internal.FetchedAppSettingsManager,com.facebook.r$b,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;-;222
bp.free.puzzle.game.mahjong.onet;:::::-1;-;Frida - socket.connect;-;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.internal.Platform,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.safedk.android.internal.partials.FirebasePerformanceMonitoringNetworkBridge,com.google.firebase.perf.network.e,com.google.firebase.perf.network.d,com.safedk.android.internal.partials.FacebookNetworkBridge,com.facebook.j$a,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest,com.facebook.internal.o,com.facebook.internal.o,com.facebook.internal.o$b,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;-;222
bp.free.puzzle.game.mahjong.onet;192.168.0.20:46188;-;Frida - socket.getOutputStream;-;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.okio.Okio,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.safedk.android.internal.partials.FirebasePerformanceMonitoringNetworkBridge,com.google.firebase.perf.network.e,com.google.firebase.perf.network.d,com.safedk.android.internal.partials.FacebookNetworkBridge,com.facebook.j$a,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest,com.facebook.internal.FetchedAppSettingsManager,com.facebook.internal.FetchedAppSettingsManager,com.facebook.r$b,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;-;215
bp.free.puzzle.game.mahjong.onet;192.168.0.20:46190;-;Frida - socket.getOutputStream;-;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.okio.Okio,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.safedk.android.internal.partials.FirebasePerformanceMonitoringNetworkBridge,com.google.firebase.perf.network.e,com.google.firebase.perf.network.d,com.safedk.android.internal.partials.FacebookNetworkBridge,com.facebook.j$a,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest$c,com.facebook.GraphRequest,com.facebook.internal.o,com.facebook.internal.o,com.facebook.internal.o$b,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;-;215
bp.free.puzzle.game.mahjong.onet;NA;-;Frida - SSLContext.getInstance;-;dalvik.system.VMStack,java.lang.Thread,javax.net.ssl.SSLContext,okhttp3.internal.platform.AndroidPlatform,okhttp3.OkHttpClient,okhttp3.OkHttpClient,okhttp3.OkHttpClient,okhttp3.OkHttpClient$Builder,okhttp3.OkHttpClient$Builder,com.facebook.m.t.s.c,com.facebook.m.t.s.c,i.d,com.facebook.m.t.s.h,com.cfqy.sdk.base.MJSDK,bp.free.puzzle.game.mahjong.onet.UnityPlayerActivity,android.app.Instrumentation,android.app.Activity,android.app.ActivityThread,android.app.ActivityThread,android.app.servertransaction.ResumeActivityItem,android.app.servertransaction.TransactionExecutor,android.app.servertransaction.TransactionExecutor,android.app.ActivityThread$H,android.os.Handler,android.os.Looper,android.app.ActivityThread,java.lang.reflect.Method,com.android.internal.os.RuntimeInit$MethodAndArgsCaller,com.android.internal.os.ZygoteInit;-;54
