
N/A;192.168.0.20:47106;34.95.120.195:443;Proxy-Request;https://int.dewrain.world/trac...;-
N/A;192.168.0.20:47106;34.95.120.195:443;Proxy-Response;-;-
N/A;192.168.0.20:47110;23.21.181.170:443;Proxy-Request;https://api.apptentive.com/con...;-
N/A;192.168.0.20:47110;23.21.181.170:443;Proxy-Response;-;-
N/A;192.168.0.20:47108;54.86.172.22:443;Proxy-Request;https://and-legal.pulse.weathe...;-
N/A;192.168.0.20:47112;104.18.0.5:443;Proxy-Request;https://api.appodealx.com/auct...;-
N/A;192.168.0.20:47110;23.21.181.170:443;Proxy-Request;https://api.apptentive.com/con...;-
N/A;192.168.0.20:47108;54.86.172.22:443;Proxy-Response;-;-
N/A;192.168.0.20:47112;104.18.0.5:443;Proxy-Response;-;-
N/A;192.168.0.20:47110;23.21.181.170:443;Proxy-Response;-;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;192.168.0.20:47116;54.86.172.22:443;Proxy-Request;https://and-push.pulse.weather...;-
N/A;192.168.0.20:47120;54.204.255.186:443;Proxy-Request;https://and-ads.pulse.weatherb...;-
N/A;192.168.0.20:47138;172.64.102.35:443;Proxy-Request;https://api-eu.bidmachine.io/t...;-
N/A;192.168.0.20:47148;34.117.177.88:443;Proxy-Request;https://co.dewrain.world/track...;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;192.168.0.20:47114;54.86.172.22:443;Proxy-Request;https://and-lx.pulse.weatherbu...;-
N/A;192.168.0.20:47124;34.198.222.87:443;Proxy-Request;https://and-em.pulse.weatherbu...;-
N/A;192.168.0.20:47138;172.64.102.35:443;Proxy-Response;-;-
com.aws.android;192.168.0.20:47152;37.252.171.84:443;Proxy-Request;https://ib.adnxs.com/ut/v3;-
com.aws.android;192.168.0.20:47154;185.89.210.211:443;Proxy-Request;https://mediation.adnxs.com/fa...;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;192.168.0.20:47156;18.154.48.79:443;Proxy-Request;https://pc.va.app.ext.weatherb...;-
N/A;192.168.0.20:47122;34.198.222.87:443;Proxy-Request;https://and-em.pulse.weatherbu...;-
